"NUTS","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
AT222,,,,,,,,,,,,,,,,42008.83,42328.62,42492.78,43791.87,44580.67,43294.520000000004,42782.31,43251.72,43666.67,43945.58,43751.68,44272.43,44410.42,44801.28,44308.44,44566.88,44795.03,45097.56,45033.54,45234.76,45243.24,45447.76,45865.89,46505.81,47243.48,47063.64,47740.96,47688.950000000004,47798.83,49479.380000000005,49515.19,49305.43,49174.36
AT223,,,,,,,,,,,,,,,,42007.1,42324.04,42484.01,43790.93,44583.33,40753.29,40278.96,40572.590000000004,40988.56,41423.39,41342.020000000004,41811.5,41853.13,42246.89,41863.28,42205.5,42515.92,42957.14,42936.61,43025.08,43151.33,43349.85,43949,44519.88,45227.48,44735.85,45609.3,45578.15,45525.450000000004,47119.69,47157,46965.090000000004,46838.13
AT224,,,,,,,,,,,,,,,,42001.67,42318.340000000004,42481.86,43784.93,44586.87,49597.44,49022.93,49384.32,49737.64,49854.64,49411.11,49720.590000000004,49441.25,49675.58,48869.36,48935.23,48853.04,48734.78,48467.88,48642.33,48369.200000000004,48440.840000000004,48628.450000000004,48713.58,49384.69,48981.04,49646.6,49604.41,49377.99,51109.72,51152.22,50946.29,50809.33
AT225,,,,,,,,,,,,,,,,42000.74,42320.76,42485.61,43785.44,44587.090000000004,47828.06,47407.48,47852.07,48191.03,48379.31,47986.840000000004,48375.46,48168.17,48434.33,48032.200000000004,48202.11,48153.85,48231.42,48105.88,48339.46,48175.79,48095.62,48390.4,48737.98,49509.98,49061.82,49753.380000000005,49580.41,49420.29,51144.06,51188.85,50980.79,50842.3
AT226,,,,,,,,,,,,,,,,42000.58,42314.22,42491.270000000004,43779.12,44591.43,43387.76,43084.06,43465.12,43796.51,44086.46,43783.48,44423.73,44643.26,45132.6,44802.86,44902.51,45087.67,45574.18,45708.33,45941.340000000004,45988.8,46089.14,46628.81,47267.22,47912.090000000004,47675.21,48549.3,48519.44,48386.11,50080.8,50130.770000000004,49936.31,49799.17
AT3,,,,,,,,,,,,,,,,40595.46,40755.99,40644.12,41724.46,42332.11,43849.42,43838.49,44095.53,44307.75,44412.99,44158.46,44648.91,44963.78,45668.93,45385.96,45445.840000000004,45799.72,46173.03,46674.700000000004,46549.4,46658.72,46838.11,47234.94,47742.42,48474.71,48005.26,48709.66,48794.43,48605.66,50183.07,50225.67,50021.87,49887.66
AT31,,,,,,,,,,,,,,,,45239.17,45614.64,45586.05,47228.89,47851.79,44686.450000000004,44565.78,44719.44,45021.23,45171.13,44886.39,45292.57,45678.97,46161.38,46029.86,45886.94,46442.69,46930.48,47556.29,47276.18,47358.57,47485.43,47865.33,48385.270000000004,49191.98,48364.86,49437.61,49350.46,49112.47,50894.03,50937.42,50730.58,50594.41
AT311,,,,,,,,,,,,,,,,45239.31,45614.58,45586.73,47231.05,47852.97,47911.01,47703.36,47831.78,48035.71,47971.66,47493.32,47705.950000000004,47986.32,48254.07,48057.14,47763.16,48130.520000000004,48422.93,48981.99,48649.03,48583.03,48578.19,48829.270000000004,49273.340000000004,49987.5,49232.26,50277.090000000004,50172.58,49840.93,51640.71,51684.03,51475.630000000005,51338.35
AT312,,,,,,,,,,,,,,,,45240.05,45615.79,45586.69,47228.31,47850.66,41890.55,41808.67,41967.89,42326.46,42559.88,42387.07,42844.5,43326.9,43846.43,43710.68,43691.96,44316.31,44928.91,45577.12,45324.61,45537.79,45762.46,46193.88,46805.04,47709.42,46761.15,47841.54,47772.79,47596.44,49316.94,49359.21,49158.22,49025.24
AT313,,,,,,,,,,,,,,,,45239.47,45613.020000000004,45580.94,47232.090000000004,47853,53732.92,53689.44,53781.700000000004,54028.75,53857.43,53448.48,53442.91,53678.23,54083.020000000004,53692.880000000005,53116.450000000004,53563.64,53552.58,54026.5,53572.16,53114.67,53104.200000000004,53298.68,53422.83,53845.91,53201.91,54134.85,53863.700000000004,53427.93,55355.12,55400.770000000004,55174.200000000004,55030.200000000004
