NUTS_CODE;YEAR;MONTH;CDD;HDD
CH;2013;8;4.15;64.84
CH;2013;9;0;144.85
CH;2013;10;0;248.84
CH;2013;11;0;469.69
CH;2013;12;0;536.44
CH;2014;1;0;534.29
CH;2014;2;0;466.04
CH;2014;3;0;414.45
CH;2014;4;0;290.67
CH;2014;5;0.07;242.39
CH;2014;6;1.79;91.58
CH;2014;7;0.14;85.67
CH;2014;8;0.02;109.43
CH;2014;9;0;133.75
CH;2014;10;0;218.66
CH;2014;11;0;365.21
CH;2014;12;0;519.15
CH;2015;1;0;563.67
CH;2015;2;0;554.33
CH;2015;3;0;437.12
CH;2015;4;0;321.3
CH;2015;5;0;196.54
CH;2015;6;0.37;79.19
CH;2015;7;28.48;27.61
CH;2015;8;11.33;50.7
CH;2015;9;0.04;199.06
CH;2015;10;0;315.25
CH;2015;11;0;365.81
CH;2015;12;0;455.49
CH;2016;1;0;544.13
CH;2016;2;0;468.67
CH;2016;3;0;487.86
CH;2016;4;0;333.31
CH;2016;5;0;242.24
CH;2016;6;2.06;109.23
CH;2016;7;1.95;55.98
CH;2016;8;2.65;58.41
CH;2016;9;0;102.6
CH;2016;10;0;331.51
CH;2016;11;0;434.7
CH;2016;12;0;530.9
CH;2017;1;0;686.55
CH;2017;2;0;440.47
CH;2017;3;0;366.52
CH;2017;4;0;343.91
CH;2017;5;0.01;190.13
CH;2017;6;7.78;58.79
CH;2017;7;3.51;53.57
CH;2017;8;5.69;51.81
CH;2017;9;0;203.14
CH;2017;10;0;255.96
CH;2017;11;0;460.76
CH;2017;12;0;592.47
CH;2018;1;0;490.09
CH;2018;2;0;593.05
CH;2018;3;0;502.33
CH;2018;4;0;236.89
CH;2018;5;0;162.18
CH;2018;6;0.13;73.05
CH;2018;7;5.4;33.73
CH;2018;8;14.57;44.41
CH;2018;9;0;101.88
CH;2018;10;0;250.23
CH;2018;11;0;404.46
CH;2018;12;0;515.85
CH;2019;1;0;636.5
CH;2019;2;0;447.78
CH;2019;3;0;425.31
CH;2019;4;0;340.35
CH;2019;5;0;300.18
CH;2019;6;11.94;67.15
CH;2019;7;13.6;40.35
CH;2019;8;0.84;49.16
CH;2019;9;0;132.89
CH;2019;10;0;237.43
CH;2019;11;0;442.13
CH;2019;12;0;494.37
CH;2020;1;0;522.16
CH;2020;2;0;419.25
CH;2020;3;0;446.51
CH;2020;4;0;251.62
CH;2020;5;0;194.95
CH;2020;6;0.02;117.72
CH;2020;7;3.99;48.84
CH;2020;8;7.59;56.36
CH;2020;9;0;122.35
CH;2020;10;0;325.96
CH;2020;11;0;380.32
CH;2020;12;0;550.3
CH;2021;1;0;617.42
CH;2021;2;0;435.02
CH;2021;3;0;463.76
CH;2021;4;0;388.35
CH;2021;5;0;292.76
CH;2021;6;2.05;62.18
CH;2021;7;0.19;66.47
CH;2021;8;1.77;90.44
CH;2021;9;0;107.53
CH;2021;10;0;306.69
CH;2021;11;0;459.42
CH;2021;12;0;547.12
CH;2022;1;0;559.03
CH;2022;2;0;456.74
CH;2022;3;0;428.44
CH;2022;4;0;341.74
CH;2022;5;0.16;142.39
CH;2022;6;5.95;53.6
CH;2022;7;11.3;31.13
CH;2022;8;7.09;35.44
CH;2022;9;0;171.72
CH;2022;10;0;166.21
CH;2022;11;0;386.68
CH;2022;12;0;528.27
CH;2023;1;0;555.66
CH;2023;2;0;449.47
CH;2023;3;0;411.38
CH;2023;4;0;362.46
CH;2023;5;0;195.93
CH;2023;6;1.2;54.42
CH;2023;7;8.42;41.73
CH;2023;8;20.49;64.75
CH;2023;9;0.02;70.2
CH;2023;10;0;190.3
CH;2023;11;0;435.81
CH;2023;12;0;490.57
CH;2024;1;0;529.62
CH;2024;2;0;385.23
CH;2024;3;0;390.55
CH;2024;4;0;316.66
CH;2024;5;0;203.3
CH;2024;6;0.39;91.63
CH;2024;7;5.12;34.23
CH;2024;8;7.03;19.41
CH;2024;9;0.56;173.92
CH;2024;10;0;239.86
CH;2024;11;0;410.75
CH;2024;12;0;540.35
UKG;1978;1;0;414.19
UKG;1978;2;0;370.98
UKG;1978;3;0;348.44
UKG;1978;4;0;276.72
UKG;1978;5;0;190.67
UKG;1978;6;0;69.6
UKG;1978;7;0;0.16
UKG;1978;8;0;10.63
UKG;1978;9;0;97.28
UKG;1978;10;0;220.13
UKG;1978;11;0;319.2
UKG;1978;12;0;402.37
UKG;1979;1;0;582.35
UKG;1979;2;0;484.49
UKG;1979;3;0;422.13
UKG;1979;4;0;315.28
UKG;1979;5;0;257.05
UKG;1979;6;0;120.59
UKG;1979;7;0;47.24
UKG;1979;8;0;87.19
UKG;1979;9;0;139.53
UKG;1979;10;0;223.74
UKG;1979;11;0;347.4
UKG;1979;12;0;392.87
UKG;1980;1;0;502.25
UKG;1980;2;0;361.44
UKG;1980;3;0;420.47
UKG;1980;4;0;292.22
UKG;1980;5;0;221.26
UKG;1980;6;0;130.12
UKG;1980;7;0;110.35
UKG;1980;8;0;48.75
UKG;1980;9;0;82.25
UKG;1980;10;0;298.59
UKG;1980;11;0;353.65
UKG;1980;12;0;393.67
UKG;1981;1;0;415.06
UKG;1981;2;0;437.07
UKG;1981;3;0;319.34
UKG;1981;4;0;315.5
UKG;1981;5;0;213.98
UKG;1981;6;0;135.04
UKG;1981;7;0;52.98
UKG;1981;8;0;37.11
UKG;1981;9;0;100.68
UKG;1981;10;0;308.73
UKG;1981;11;0;321.11
UKG;1981;12;0;576.61
UKG;1982;1;0;502.94
UKG;1982;2;0;375.69
UKG;1982;3;0;383.43
UKG;1982;4;0;294.99
UKG;1982;5;0;208.4
UKG;1982;6;0;75.82
UKG;1982;7;0;44.66
UKG;1982;8;0;69.79
UKG;1982;9;0;113.07
UKG;1982;10;0;256.93
UKG;1982;11;0;314.72
UKG;1982;12;0;437.37
UKG;1983;1;0;356.15
UKG;1983;2;0;470.38
UKG;1983;3;0;365.85
UKG;1983;4;0;350.29
UKG;1983;5;0;248.13
UKG;1983;6;0;102.43
UKG;1983;7;0;6.97
UKG;1983;8;0;24.96
UKG;1983;9;0;128.01
UKG;1983;10;0;247.53
UKG;1983;11;0;330.93
UKG;1983;12;0;396.96
UKG;1984;1;0;452.16
UKG;1984;2;0;431.08
UKG;1984;3;0;423.49
UKG;1984;4;0;311.73
UKG;1984;5;0;264.17
UKG;1984;6;0;102.97
UKG;1984;7;0;34.32
UKG;1984;8;0;19.04
UKG;1984;9;0;127.01
UKG;1984;10;0;226.29
UKG;1984;11;0;314.7
UKG;1984;12;0;413.66
UKG;1985;1;0;542.7
UKG;1985;2;0;463.94
UKG;1985;3;0;428.64
UKG;1985;4;0;303.9
UKG;1985;5;0;235.16
UKG;1985;6;0;171.39
UKG;1985;7;0;47.15
UKG;1985;8;0;95.67
UKG;1985;9;0;91.36
UKG;1985;10;0;231.81
UKG;1985;11;0;429.17
UKG;1985;12;0;373.79
UKG;1986;1;0;460.3
UKG;1986;2;0;544.69
UKG;1986;3;0;411.81
UKG;1986;4;0;376.26
UKG;1986;5;0;218.95
UKG;1986;6;0;108.59
UKG;1986;7;0;50.92
UKG;1986;8;0;132.76
UKG;1986;9;0;217.79
UKG;1986;10;0;236.53
UKG;1986;11;0;322.04
UKG;1986;12;0;381.75
UKG;1987;1;0;548.25
UKG;1987;2;0;409.43
UKG;1987;3;0;437.65
UKG;1987;4;0;244.75
UKG;1987;5;0;260.77
UKG;1987;6;0;164.8
UKG;1987;7;0;65.45
UKG;1987;8;0;77.77
UKG;1987;9;0;134.83
UKG;1987;10;0;274.81
UKG;1987;11;0;354.49
UKG;1987;12;0;394.98
UKG;1988;1;0;399.53
UKG;1988;2;0;390.86
UKG;1988;3;0;366.41
UKG;1988;4;0;308.63
UKG;1988;5;0;204.24
UKG;1988;6;0;100.52
UKG;1988;7;0;98.74
UKG;1988;8;0;87.11
UKG;1988;9;0;146.32
UKG;1988;10;0;251.66
UKG;1988;11;0;403.91
UKG;1988;12;0;327.8
UKG;1989;1;0;376.99
UKG;1989;2;0;349.59
UKG;1989;3;0;338.46
UKG;1989;4;0;361.18
UKG;1989;5;0;158.74
UKG;1989;6;0;112.2
UKG;1989;7;1.33;14.28
UKG;1989;8;0;34.3
UKG;1989;9;0;99.94
UKG;1989;10;0;205.7
UKG;1989;11;0;363.57
UKG;1989;12;0;420.53
UKG;1990;1;0;361.86
UKG;1990;2;0;297.68
UKG;1990;3;0;306.24
UKG;1990;4;0;314.34
UKG;1990;5;0;162.16
UKG;1990;6;0;123.77
UKG;1990;7;0;35.94
UKG;1990;8;4.79;17.78
UKG;1990;9;0;143.44
UKG;1990;10;0;184.41
UKG;1990;11;0;346.64
UKG;1990;12;0;434.69
UKG;1991;1;0;470.33
UKG;1991;2;0;465.65
UKG;1991;3;0;323.08
UKG;1991;4;0;309.78
UKG;1991;5;0;219.28
UKG;1991;6;0;181.34
UKG;1991;7;0;11.02
UKG;1991;8;0;20.38
UKG;1991;9;0;92.6
UKG;1991;10;0;245.91
UKG;1991;11;0;348.92
UKG;1991;12;0;426.78
UKG;1992;1;0;451.79
UKG;1992;2;0;356.85
UKG;1992;3;0;326.36
UKG;1992;4;0;282.75
UKG;1992;5;0;129.72
UKG;1992;6;0;58.76
UKG;1992;7;0;42.77
UKG;1992;8;0;65.01
UKG;1992;9;0;137.56
UKG;1992;10;0;326.4
UKG;1992;11;0;319.73
UKG;1992;12;0;456.5
